year,region,group,channel,spend,packs,spendYoy,population,perResident,populationBasis,missingSpendCells,missingPackCells,months
2017,160,antibiotics,direct,14491712.51,1848696.0,0.048777702843055507,4024067,3.6012602449213693,"ISTAT intercensal reconstruction, January 1",33,33,12
2017,160,antifungals,convenzionata,5549472.388336708,297979.0,-0.07024749809105216,4024067,1.3790705742068181,"ISTAT intercensal reconstruction, January 1",49,49,12
2017,160,antifungals,direct,9465949.57,73948.0,-0.07179550755751585,4024067,2.3523339869838154,"ISTAT intercensal reconstruction, January 1",10,10,12
2017,170,antibiotics,convenzionata,7022195.518125057,886954.0,-0.008206719911641137,566405,12.39783462032478,"ISTAT intercensal reconstruction, January 1",203,203,12
2017,170,antibiotics,direct,2359763.39,326071.0,0.03737824336247832,566405,4.166212145019906,"ISTAT intercensal reconstruction, January 1",59,59,12
2017,170,antifungals,convenzionata,623350.020170996,32869.0,-0.04553381550092538,566405,1.10053763679875,"ISTAT intercensal reconstruction, January 1",48,48,12
2017,170,antifungals,direct,1017621.58,4958.0,0.08490671322114168,566405,1.7966324096715247,"ISTAT intercensal reconstruction, January 1",12,12,12
2017,180,antibiotics,convenzionata,31637741.003983274,3929050.0,0.0031549807094623347,1935097,16.34943416479033,"ISTAT intercensal reconstruction, January 1",202,202,12
2017,180,antibiotics,direct,5156965.83,737857.0,-0.009252937645021393,1935097,2.664965027592932,"ISTAT intercensal reconstruction, January 1",61,61,12
2017,180,antifungals,convenzionata,3731633.769703997,190645.0,-0.08412361835980826,1935097,1.9283962352812272,"ISTAT intercensal reconstruction, January 1",45,45,12
2017,180,antifungals,direct,4398274.95,18386.0,-0.13888764544224103,1935097,2.2728963716030774,"ISTAT intercensal reconstruction, January 1",12,12,12
2017,190,antibiotics,convenzionata,61318228.79969445,7024397.0,-0.09661720029469935,4977900,12.318091725365003,"ISTAT intercensal reconstruction, January 1",240,240,12
2017,190,antibiotics,direct,15777142.97,2420934.0,0.14398801985963333,4977900,3.1694375077844072,"ISTAT intercensal reconstruction, January 1",52,52,12
2017,190,antifungals,convenzionata,8295387.99522281,415197.0,-0.05683185424885835,4977900,1.6664432783348018,"ISTAT intercensal reconstruction, January 1",48,48,12
2017,190,antifungals,direct,9588527.83,44708.0,0.006859035453517001,4977900,1.9262194559955002,"ISTAT intercensal reconstruction, January 1",8,8,12
2017,200,antibiotics,convenzionata,16405941.190501854,1860760.0,0.026897045034564426,1636839,10.02294128530775,"ISTAT intercensal reconstruction, January 1",222,222,12
2017,200,antibiotics,direct,5711428.86,881683.0,0.11491323476423741,1636839,3.4893039938564514,"ISTAT intercensal reconstruction, January 1",42,42,12
2017,200,antifungals,convenzionata,2018415.113891263,125669.0,-0.042337479049503815,1636839,1.2331176822468568,"ISTAT intercensal reconstruction, January 1",51,51,12
2017,200,antifungals,direct,3458121.98,19480.0,-0.1843302133358372,1636839,2.1126830311350107,"ISTAT intercensal reconstruction, January 1",5,5,12
2018,000,antibiotics,convenzionata,653063989.87,79532823.0,-0.011017777071217148,59937769,10.895700670306898,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,000,antibiotics,direct,211211227.63,29846585.0,0.0026241103789480776,59937769,3.523841997355624,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,000,antifungals,convenzionata,63168087.97,3420132.0,-0.006852980583623353,59937769,1.053894548026971,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,000,antifungals,direct,113335583.06,736270.0,-0.17197425200395028,59937769,1.890887581417987,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,010,antibiotics,convenzionata,35616598.43,4306734.0,-0.01083309794711371,4349911,8.187891299385205,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,010,antibiotics,direct,15381617.96,2488553.0,0.004625331662036431,4349911,3.536076476047441,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,010,antifungals,convenzionata,3774752.22,216793.0,0.0034781150308541464,4349911,0.8677768855500723,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,010,antifungals,direct,8169996.63,72752.0,-0.15487966610032822,4349911,1.8781985723386065,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,020,antibiotics,convenzionata,939106.48,111872.0,0.02012080812560267,126213,7.440647793808878,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,020,antibiotics,direct,419478.58,69218.0,0.03626438615924751,126213,3.323576652167368,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,020,antifungals,convenzionata,76151.35,4010.0,-0.007156073876069479,126213,0.6033558349773795,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,020,antifungals,direct,50195.81,1630.0,-0.28450702980633324,126213,0.3977071300103793,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,030,antibiotics,convenzionata,80654744.04,9874845.0,-0.002091235350020542,9986962,8.076003897882059,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,030,antibiotics,direct,25989093.92,4769760.0,0.01661937483656951,9986962,2.602302273704456,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,030,antifungals,convenzionata,7260496.58,404381.0,-0.011652354566790887,9986962,0.7269975173631381,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,030,antifungals,direct,17190103.78,101560.0,-0.11439737742324073,9986962,1.7212545496818754,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,041,antibiotics,convenzionata,2501351.18,282278.0,0.0179711933600003,526772,4.748451284426659,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,041,antibiotics,direct,1574973.91,267668.0,-0.05522841089323731,526772,2.9898588193753652,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,041,antifungals,convenzionata,171276.8,10442.0,0.07171171218469032,526772,0.3251440851070292,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,041,antifungals,direct,1022346.7,7250.0,-0.23089815023693883,526772,1.9407764649601724,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,042,antibiotics,convenzionata,4070975.46,482342.0,-0.017639731128207926,541966,7.511496034806611,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,042,antibiotics,direct,2020344.12,249242.0,-0.002551630785311182,541966,3.727806024732179,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,042,antifungals,convenzionata,466042.39,26820.0,0.10724396677688039,541966,0.85991075085891,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,042,antifungals,direct,522038.29,5511.0,-0.12736395770325734,541966,0.9632307008188705,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,050,antibiotics,convenzionata,33475754.72,4008625.0,-0.0074737741618036094,4880936,6.858470326183339,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,050,antibiotics,direct,21024932.0,3405263.0,-0.085409377421986,4880936,4.307561500499085,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,050,antifungals,convenzionata,3419402.18,207343.0,-0.010323711383475822,4880936,0.7005627977912433,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,050,antifungals,direct,9273507.61,81172.0,-0.34991043902893737,4880936,1.8999445208869772,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,060,antibiotics,convenzionata,8087592.8,999205.0,-0.030018172577990238,1211155,6.677586931482758,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,060,antibiotics,direct,5553756.51,785118.0,0.03207839159307977,1211155,4.585504340897738,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,060,antifungals,convenzionata,991736.69,63246.0,0.011601633965200838,1211155,0.8188354834847728,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,060,antifungals,direct,2460979.47,19395.0,-0.3286488390029198,1211155,2.0319277631682158,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,070,antibiotics,convenzionata,13400718.2,1576136.0,-0.006939006420961407,1541541,8.69306635373305,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,070,antibiotics,direct,6976332.34,1086743.0,0.11015974684382226,1541541,4.525557438952321,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,070,antifungals,convenzionata,1404354.85,80761.0,-0.030981992782051146,1541541,0.9110071350680911,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,070,antifungals,direct,5912639.05,28878.0,-0.056838269476094105,1541541,3.8355379779065233,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,080,antibiotics,convenzionata,34052546.13,4348234.0,0.007012828407580107,4445920,7.659279998290568,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,080,antibiotics,direct,18717292.01,3112359.0,0.06006297171942405,4445920,4.20999298457912,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,080,antifungals,convenzionata,3209112.27,188458.0,0.005834617720504491,4445920,0.7218106196242847,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,080,antifungals,direct,10087282.33,63859.0,-0.07901631162543139,4445920,2.268885254345557,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,090,antibiotics,convenzionata,36874837.0,4649027.0,-0.046030008857657186,3712048,9.933825478549846,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,090,antibiotics,direct,14250953.18,1886189.0,0.04963695633390591,3712048,3.839108001836183,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,090,antifungals,convenzionata,2909798.58,165583.0,-0.021787192724257182,3712048,0.7838795672900781,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,090,antifungals,direct,4758495.55,44406.0,-0.3903272673886901,3712048,1.2819057161976353,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,100,antibiotics,convenzionata,10436844.85,1335548.0,-0.012664738225557451,876477,11.907722450218317,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,100,antibiotics,direct,6990302.36,575878.0,0.0554659848286936,876477,7.975454415803267,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,100,antifungals,convenzionata,895937.04,50565.0,0.021203993317404708,876477,1.0222025677798734,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,100,antifungals,direct,3466594.78,14274.0,-0.1715626524921411,876477,3.9551463187282723,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,110,antibiotics,convenzionata,19821687.9,2465036.0,-0.015837554623808682,1526331,12.98649368976978,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,110,antibiotics,direct,7140388.68,822197.0,-0.0396287397126182,1526331,4.678139066821023,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,110,antifungals,convenzionata,1727152.85,101035.0,-0.03765787801847164,1526331,1.131571625027599,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,110,antifungals,direct,3013863.92,18370.0,-0.19725736214689815,1526331,1.9745808215911227,"ISTAT intercensal reconstruction, January 1",0,0,12
2018,120,antibiotics,convenzionata,77594652.05,9071717.0,-0.004895146246205445,5774606,13.437220141079754,"ISTAT intercensal reconstruction, January 1",0,0,12
