aic,description,spend_eur,resolved,confidence,method,unresolved_category,units,content_per_unit_mg,total_content_mg,source_note
052000041,YESINTEK*EV 1FL 130MG 26ML,663.3,True,Validated,parsed:direct_strength,,1,130.0,130.0,1FL 130MG
025202019,ROCEFIN*IM 1FL 250MG+1F 2ML,663.12,True,Validated,parsed:direct_strength,,1,250.0,250.0,1FL 250MG
041045028,ROBILAS*20CPR 20MG,662.86,True,Validated,parsed:direct_strength,,20,20.0,400.0,20CPR 20MG
034227013,GESTROLTEX*30CPR 160MG,662.45,True,Validated,parsed:direct_strength,,30,160.0,4800.0,30CPR 160MG
032832026,DERIL*30CPS 1MCG,661.94,True,Authoritative,aifa_ingredient_authoritative,,,,0.001,ALFACALCIDOLO 1microgrammi
029851262,"MOVICOL*SENZA AROMA 20BUST13,7",660.9,True,Authoritative,aifa_ingredient_authoritative,,,,13125.0,MACROGOL 3350 13.125grammi
026372033,CLASTEON*EV 6F 300MG 10ML,660.2,True,Validated,parsed:direct_strength,,6,300.0,1800.0,6F 300MG
039814013,"LEPTOPROL*1 IMPIANTO 3,6MG",660.0,True,Candidate,parsed:single_value_assumed_unit,,1,3.6,3.6,"3,6MG"
025980069,"XANAX*20CPR 0,50MG",659.56,True,Authoritative,aifa_ingredient_authoritative,,,,0.5,ALPRAZOLAM 0.5milligrammi
043364013,"BEMFOLA*SC PEN 75UI/0,125ML+AG",659.18,False,Unresolved,unresolved,other,,,,
042916015,"ATOSIBAN SUN*EV FL6,75MG/0,9ML",655.83,False,Unresolved,unresolved,other,,,,
046461024,TRAUSAN*OS 30BUST 1G,655.82,True,Validated,parsed:direct_strength,,30,1000.0,30000.0,30BUST 1G
027860028,ZITROMAX*BB OS SOSP FL 1500MG,655.25,True,Candidate,parsed:single_value_assumed_unit,,1,1500.0,1500.0,1500MG
025624014,MS CONTIN*16CPR 10MG RP,654.57,True,Authoritative,aifa_ingredient_authoritative,,,,10.0,MORFINA SOLFATO 10milligrammi
027096041,ZENTEL*3CPR 400MG,653.24,True,Validated,parsed:direct_strength,,3,400.0,1200.0,3CPR 400MG
